iter	Passed	Remaining
0	1	190
1	3	180
2	5	173
3	6	157
4	8	154
5	9	150
6	11	149
7	13	154
8	15	152
9	16	151
10	18	149
11	20	148
12	21	144
13	23	143
14	24	141
15	26	139
16	28	139
17	30	137
18	32	137
19	34	136
20	36	137
21	38	136
22	40	135
23	42	134
24	44	133
25	46	133
26	49	132
27	50	129
28	51	126
29	53	124
30	54	122
31	56	120
32	59	119
33	60	118
34	62	116
35	64	114
36	65	111
37	67	109
38	69	108
39	70	105
40	71	103
41	72	100
42	73	98
43	75	96
44	77	94
45	78	91
46	79	89
47	80	87
48	82	85
49	83	83
50	85	82
51	87	80
52	88	78
53	89	75
54	90	73
55	91	71
56	92	69
57	94	68
58	95	66
59	97	64
60	98	62
61	100	61
62	101	59
63	102	57
64	104	56
65	105	54
66	107	52
67	108	50
68	109	49
69	111	47
70	112	46
71	113	44
72	115	42
73	116	41
74	118	39
75	119	37
76	121	36
77	122	34
78	124	33
79	126	31
80	128	30
81	130	28
82	133	27
83	135	25
84	136	24
85	138	22
86	140	20
87	142	19
88	144	17
89	146	16
90	147	14
91	148	12
92	150	11
93	151	9
94	152	8
95	154	6
96	155	4
97	156	3
98	157	1
99	159	0
