iter	Passed	Remaining
0	1	1500
1	2	1442
2	3	1317
3	4	1203
4	5	1155
5	6	1134
6	8	1142
7	9	1138
8	10	1154
9	11	1157
10	12	1161
11	14	1176
12	15	1167
13	16	1187
14	18	1202
15	19	1210
16	20	1213
17	22	1203
18	23	1190
19	24	1183
20	25	1176
21	26	1193
22	27	1187
23	28	1177
24	29	1166
25	30	1153
26	31	1146
27	33	1148
28	34	1140
29	34	1130
30	35	1121
31	36	1114
32	37	1111
33	39	1111
34	40	1110
35	41	1108
36	42	1103
37	43	1093
38	44	1089
39	45	1097
40	46	1091
41	47	1094
42	49	1094
43	50	1093
44	51	1103
45	53	1106
46	54	1098
47	55	1095
48	56	1090
49	57	1087
50	58	1088
51	59	1086
52	60	1081
53	61	1078
54	62	1074
55	63	1068
56	64	1073
57	65	1070
58	66	1065
59	67	1061
60	68	1058
61	69	1054
62	71	1057
63	72	1055
64	73	1052
65	74	1050
66	75	1053
67	76	1053
68	78	1053
69	79	1054
70	80	1053
71	81	1048
72	82	1046
73	83	1046
74	84	1044
75	85	1041
76	86	1037
77	87	1033
78	88	1029
79	89	1027
80	90	1025
81	91	1024
82	92	1016
83	93	1016
84	94	1013
85	96	1022
86	97	1021
87	98	1019
88	99	1016
89	100	1014
90	101	1015
91	103	1016
92	104	1015
93	105	1015
94	106	1012
95	107	1009
96	108	1008
97	109	1008
98	110	1009
99	112	1008
100	113	1006
101	114	1006
102	116	1010
103	117	1010
104	118	1010
105	119	1010
106	121	1009
107	122	1007
108	123	1009
109	124	1009
110	126	1011
111	127	1013
112	129	1013
113	130	1015
114	131	1014
115	133	1021
116	135	1020
117	136	1020
118	137	1020
119	139	1020
120	140	1019
121	141	1016
122	142	1015
123	143	1014
124	144	1014
125	146	1014
126	147	1011
127	148	1008
128	149	1006
129	150	1005
130	153	1016
131	155	1019
132	156	1021
133	158	1025
134	159	1023
135	161	1023
136	162	1021
137	163	1019
138	164	1021
139	166	1022
140	167	1021
141	168	1017
142	169	1018
143	171	1020
144	173	1021
145	174	1019
146	175	1018
147	177	1021
148	179	1022
149	180	1020
150	181	1017
151	182	1016
152	183	1015
153	184	1015
154	185	1013
155	186	1010
156	187	1007
157	189	1007
158	190	1008
159	191	1007
160	192	1003
161	193	1000
162	194	998
163	195	999
164	197	997
165	198	995
166	199	992
167	199	990
168	201	990
169	203	991
170	204	989
171	205	987
172	205	984
173	207	983
174	208	984
175	210	985
176	211	983
177	212	981
178	213	980
179	215	980
180	216	979
181	217	977
182	218	975
183	219	973
184	220	971
185	221	971
186	223	970
187	224	968
188	225	966
189	226	967
190	228	968
191	229	967
192	230	964
193	231	962
194	232	961
195	234	960
196	235	960
197	236	958
198	237	957
199	239	957
200	240	956
201	241	955
202	242	953
203	243	951
204	245	951
205	246	950
206	247	949
207	249	948
208	250	948
209	252	948
210	253	948
211	254	946
212	255	945
213	257	944
214	259	946
215	260	945
216	261	942
217	262	941
218	264	941
219	265	940
220	266	938
221	267	936
222	268	934
223	269	935
224	271	933
225	272	931
226	273	929
227	273	927
228	275	926
229	276	926
230	277	924
231	278	922
232	279	920
233	280	918
234	281	916
235	282	915
236	283	913
237	284	911
238	285	909
239	286	907
240	287	906
241	289	905
242	290	903
243	291	902
244	292	900
245	293	900
246	295	899
247	296	898
248	297	897
249	298	895
250	299	894
251	301	895
252	303	894
253	304	893
254	305	891
255	306	891
256	308	891
257	309	890
258	310	888
259	311	886
260	312	885
261	313	884
262	315	883
263	316	881
264	316	879
265	318	878
266	319	877
267	320	876
268	322	875
269	323	873
270	323	871
271	325	870
272	326	868
273	326	866
274	327	863
275	328	861
276	329	860
277	330	858
278	331	857
279	332	856
280	334	854
281	335	853
282	336	851
283	337	850
284	338	849
285	339	848
286	340	846
287	341	845
288	342	843
289	344	842
290	345	841
291	346	840
292	347	838
293	348	836
294	349	835
295	350	834
296	352	833
297	353	832
298	354	831
299	355	828
300	356	827
301	357	826
302	358	825
303	359	824
304	360	822
305	362	821
306	363	819
307	364	819
308	365	817
309	366	815
310	367	814
311	368	812
312	369	811
313	370	810
314	371	808
315	372	807
316	373	805
317	375	804
318	376	803
319	377	802
320	378	801
321	379	799
322	380	797
323	382	797
324	383	796
325	384	794
326	385	793
327	386	791
328	387	789
329	388	788
330	389	787
331	390	786
332	391	784
333	392	782
334	393	782
335	394	780
336	395	778
337	396	776
338	397	774
339	397	772
340	398	770
341	399	769
342	401	768
343	402	767
344	403	765
345	404	764
346	405	762
347	406	761
348	407	760
349	409	759
350	410	758
351	411	756
352	412	755
353	413	754
354	414	753
355	415	752
356	416	750
357	417	749
358	419	748
359	420	747
360	421	746
361	422	744
362	423	743
363	424	741
364	425	740
365	427	740
366	428	739
367	429	737
368	430	736
369	432	736
370	433	735
371	434	734
372	435	732
373	436	731
374	438	730
375	439	730
376	441	728
377	442	727
378	443	726
379	444	725
380	445	724
381	446	723
382	447	721
383	448	720
384	449	718
385	451	717
386	452	716
387	453	715
388	454	713
389	455	712
390	456	711
391	458	710
392	459	709
393	460	707
394	461	706
395	462	705
396	463	704
397	464	703
398	465	701
399	467	700
400	468	699
401	469	698
402	471	697
403	472	697
404	473	695
405	475	695
406	476	694
407	477	693
408	478	691
409	479	690
410	480	689
411	482	688
412	483	687
413	484	685
414	485	684
415	486	682
416	487	681
417	488	680
418	490	679
419	491	678
420	492	676
421	493	675
422	494	674
423	495	673
424	496	672
425	498	671
426	499	670
427	500	668
428	501	667
429	502	665
430	503	664
431	504	663
432	505	661
433	506	660
434	507	659
435	508	657
436	509	656
437	510	655
438	512	654
439	513	653
440	514	652
441	515	650
442	516	649
443	517	648
444	518	647
445	520	646
446	521	645
447	522	644
448	523	642
449	525	641
450	526	641
451	528	640
452	529	639
453	530	638
454	531	636
455	532	635
456	533	634
457	535	633
458	535	631
459	536	630
460	537	628
461	538	627
462	540	626
463	541	625
464	542	624
465	543	623
466	545	622
467	546	620
468	547	619
469	547	617
470	548	616
471	549	615
472	551	613
473	551	612
474	553	611
475	554	610
476	555	608
477	556	607
478	557	606
479	558	604
480	559	603
481	560	602
482	561	600
483	562	599
484	563	598
485	564	597
486	565	595
487	566	594
488	567	592
489	568	591
490	569	590
491	570	589
492	572	588
493	573	587
494	574	585
495	575	584
496	576	583
497	577	581
498	578	580
499	579	579
500	580	578
501	582	577
502	583	576
503	584	575
504	585	574
505	586	573
506	588	572
507	589	571
508	590	569
509	591	568
510	593	567
511	594	566
512	596	566
513	597	565
514	599	564
515	600	563
516	601	562
517	602	560
518	603	559
519	605	558
520	606	557
521	607	556
522	608	555
523	609	554
524	611	552
525	612	551
526	613	550
527	614	549
528	615	548
529	617	547
530	619	546
531	620	545
532	621	544
533	622	543
534	624	542
535	625	541
536	627	540
537	628	539
538	629	538
539	631	538
540	633	537
541	634	536
542	635	535
543	637	534
544	638	533
545	640	532
546	641	531
547	642	529
548	643	528
549	644	527
550	646	526
551	647	525
552	648	523
553	649	522
554	650	521
555	651	520
556	652	519
557	653	517
558	654	516
559	656	515
560	657	514
561	658	513
562	659	512
563	660	510
564	662	509
565	663	508
566	663	507
567	664	505
568	666	504
569	667	503
570	669	502
571	670	501
572	671	500
573	672	498
574	673	497
575	674	496
576	675	495
577	676	494
578	678	493
579	678	491
580	679	490
581	681	489
582	682	488
583	683	486
584	684	485
585	685	484
586	686	482
587	687	481
588	688	480
589	689	479
590	691	478
591	692	476
592	693	475
593	694	474
594	695	473
595	696	472
596	697	471
597	698	469
598	699	468
599	700	467
600	701	465
601	703	465
602	704	463
603	705	462
604	706	461
605	707	460
606	708	459
607	709	457
608	710	456
609	711	455
610	713	454
611	714	452
612	715	451
613	717	450
614	718	449
615	720	448
616	721	447
617	722	446
618	723	445
619	724	443
620	725	442
621	726	441
622	727	440
623	728	438
624	729	437
625	730	436
626	731	435
627	732	434
628	733	432
629	735	431
630	736	430
631	738	429
632	739	428
633	740	427
634	741	425
635	741	424
636	742	423
637	744	422
638	745	420
639	745	419
640	746	418
641	747	416
642	748	415
643	749	414
644	750	413
645	751	412
646	753	411
647	754	409
648	755	408
649	756	407
650	757	406
651	758	404
652	759	403
653	760	402
654	761	401
655	762	400
656	764	398
657	764	397
658	765	396
659	766	394
660	767	393
661	768	392
662	769	391
663	770	389
664	771	388
665	772	387
666	773	386
667	774	384
668	775	383
669	776	382
670	777	381
671	778	380
672	779	378
673	780	377
674	781	376
675	783	375
676	783	374
677	784	372
678	785	371
679	786	370
680	788	369
681	789	367
682	790	366
683	791	365
684	792	364
685	793	363
686	794	362
687	796	361
688	797	359
689	798	358
690	799	357
691	800	356
692	802	355
693	803	354
694	804	352
695	805	351
696	806	350
697	807	349
698	808	348
699	809	346
700	809	345
701	811	344
702	812	343
703	813	341
704	814	340
705	814	339
706	815	338
707	817	337
708	818	335
709	819	334
710	820	333
711	821	332
712	822	330
713	823	329
714	824	328
715	825	327
716	826	326
717	827	325
718	828	323
719	829	322
720	830	321
721	831	319
722	832	318
723	832	317
724	833	316
725	834	314
726	835	313
727	836	312
728	837	311
729	838	310
730	839	309
731	840	307
732	841	306
733	842	305
734	843	304
735	844	302
736	845	301
737	846	300
738	847	299
739	847	297
740	848	296
741	849	295
742	850	294
743	852	293
744	852	291
745	853	290
746	854	289
747	855	288
748	856	287
749	858	286
750	858	284
751	859	283
752	860	282
753	862	281
754	863	280
755	864	278
756	865	277
757	865	276
758	866	275
759	867	274
760	868	272
761	870	271
762	871	270
763	871	269
764	872	268
765	873	266
766	874	265
767	875	264
768	876	263
769	877	262
770	878	260
771	879	259
772	880	258
773	881	257
774	882	256
775	884	255
776	885	254
777	885	252
778	886	251
779	887	250
780	889	249
781	890	248
782	891	246
783	892	245
784	893	244
785	894	243
786	895	242
787	896	241
788	897	240
789	898	238
790	899	237
791	900	236
792	901	235
793	902	234
794	903	232
795	904	231
796	905	230
797	906	229
798	907	228
799	908	227
800	909	226
801	910	224
802	912	223
803	913	222
804	914	221
805	915	220
806	916	219
807	917	217
808	918	216
809	919	215
810	920	214
811	921	213
812	922	212
813	923	211
814	924	209
815	926	208
816	927	207
817	928	206
818	929	205
819	930	204
820	931	202
821	932	201
822	933	200
823	934	199
824	935	198
825	937	197
826	938	196
827	939	195
828	940	194
829	941	192
830	942	191
831	943	190
832	944	189
833	945	188
834	946	187
835	947	185
836	948	184
837	949	183
838	950	182
839	951	181
840	952	180
841	953	178
842	954	177
843	955	176
844	956	175
845	957	174
846	959	173
847	960	172
848	961	171
849	962	169
850	963	168
851	965	167
852	966	166
853	966	165
854	967	164
855	968	162
856	970	161
857	971	160
858	972	159
859	973	158
860	973	157
861	974	156
862	975	154
863	976	153
864	977	152
865	978	151
866	979	150
867	980	149
868	981	147
869	982	146
870	983	145
871	985	144
872	986	143
873	987	142
874	988	141
875	989	140
876	990	138
877	991	137
878	992	136
879	992	135
880	993	134
881	994	133
882	995	131
883	996	130
884	997	129
885	998	128
886	999	127
887	999	126
888	1001	124
889	1002	123
890	1003	122
891	1004	121
892	1005	120
893	1006	119
894	1007	118
895	1008	117
896	1009	115
897	1010	114
898	1011	113
899	1012	112
900	1013	111
901	1014	110
902	1015	109
903	1016	107
904	1017	106
905	1018	105
906	1019	104
907	1021	103
908	1022	102
909	1023	101
910	1024	100
911	1025	98
912	1026	97
913	1028	96
914	1029	95
915	1030	94
916	1032	93
917	1033	92
918	1034	91
919	1035	90
920	1036	88
921	1037	87
922	1038	86
923	1039	85
924	1040	84
925	1041	83
926	1042	82
927	1043	80
928	1044	79
929	1045	78
930	1046	77
931	1047	76
932	1048	75
933	1049	74
934	1050	72
935	1050	71
936	1051	70
937	1052	69
938	1053	68
939	1054	67
940	1055	66
941	1056	65
942	1057	63
943	1058	62
944	1059	61
945	1060	60
946	1061	59
947	1062	58
948	1063	57
949	1064	56
950	1066	54
951	1066	53
952	1067	52
953	1068	51
954	1069	50
955	1070	49
956	1071	48
957	1072	47
958	1073	45
959	1074	44
960	1075	43
961	1075	42
962	1076	41
963	1078	40
964	1079	39
965	1080	38
966	1081	36
967	1082	35
968	1083	34
